,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Year,Type,EFOR
0,1.5,1,1,1981.0,Conventional Hydroelectric,0.05
1,30.7,23,23,1984.0,Geothermal,0.05
2,14.1,11,9,2007.0,Geothermal,0.05
3,23.4,23.4,23.4,1988.0,Conventional Hydroelectric,0.05
4,2.7,2.7,2.7,1917.0,Conventional Hydroelectric,0.05
5,2.0,2.2,2.2,1925.0,Conventional Hydroelectric,0.05
6,2.0,2.2,2.2,1925.0,Conventional Hydroelectric,0.05
7,11.0,11,11,1923.0,Conventional Hydroelectric,0.05
8,11.0,11,11,1923.0,Conventional Hydroelectric,0.05
9,11.0,11,11,1923.0,Conventional Hydroelectric,0.05
10,10.0,9.3,9.3,1915.0,Conventional Hydroelectric,0.05
11,10.0,9.3,9.3,1916.0,Conventional Hydroelectric,0.05
12,10.0,9.3,9.3,1920.0,Conventional Hydroelectric,0.05
13,7.5,7.6,7.6,1924.0,Conventional Hydroelectric,0.05
14,7.0,7.6,7.6,1924.0,Conventional Hydroelectric,0.05
15,8.0,8,8,1982.0,Conventional Hydroelectric,0.05
16,3.0,3,3,1940.0,Conventional Hydroelectric,0.05
17,8.0,8,8,1982.0,Conventional Hydroelectric,0.05
18,0.7,0.6,0.2,1984.0,Conventional Hydroelectric,0.05
19,2.1,2,1.9,1984.0,Conventional Hydroelectric,0.05
20,0.2,0.2,0.2,1984.0,Conventional Hydroelectric,0.05
21,0.5,0.4,0.4,1984.0,Conventional Hydroelectric,0.05
22,1.0,0.8,0.8,1984.0,Conventional Hydroelectric,0.05
23,0.6,0.5,0.1,1989.0,Conventional Hydroelectric,0.05
24,0.6,0.5,0.1,1989.0,Conventional Hydroelectric,0.05
25,1.3,1.3,1.3,1907.0,Conventional Hydroelectric,0.05
26,1.2,1.2,1.2,1907.0,Conventional Hydroelectric,0.05
27,15.0,15,15,1927.0,Conventional Hydroelectric,0.05
28,15.0,15,15,1927.0,Conventional Hydroelectric,0.05
29,70.5,64,64,1951.0,Natural Gas Steam Turbine,0.05
30,75.0,69,69,1952.0,Natural Gas Steam Turbine,0.05
31,133.6,104.5,104.5,1955.0,Natural Gas Steam Turbine,0.05
32,71.0,39,40,2002.0,Natural Gas Fired Combustion Turbine,0.05
33,71.0,39,40,2002.0,Natural Gas Fired Combustion Turbine,0.05
34,71.0,39,40,2002.0,Natural Gas Fired Combustion Turbine,0.05
35,2.0,1.2,1.2,1896.0,Conventional Hydroelectric,0.05
36,2.5,2,2,1910.0,Conventional Hydroelectric,0.05
37,2.5,2,2,1910.0,Conventional Hydroelectric,0.05
38,0.6,0.5,0.5,1910.0,Conventional Hydroelectric,0.05
39,0.6,0.5,0.5,1910.0,Conventional Hydroelectric,0.05
40,1.0,1.2,1.2,1912.0,Conventional Hydroelectric,0.05
41,3.8,2,2,1911.0,Conventional Hydroelectric,0.05
42,5.2,4.2,5.1,2001.0,Natural Gas Fired Combustion Turbine,0.05
43,12.6,11.5,13.5,2012.0,Natural Gas Fired Combustion Turbine,0.05
44,12.6,11.5,13.5,2012.0,Natural Gas Fired Combustion Turbine,0.05
45,0.6,0.5,0.5,1921.0,Conventional Hydroelectric,0.05
46,0.6,0.5,0.5,1921.0,Conventional Hydroelectric,0.05
47,0.6,0.5,0.5,1964.0,Conventional Hydroelectric,0.05
48,0.7,0.7,0.2,1925.0,Conventional Hydroelectric,0.05
49,0.7,0.7,0.2,1925.0,Conventional Hydroelectric,0.05
50,0.6,0.4,0.1,1939.0,Conventional Hydroelectric,0.05
51,1.0,0.8,0.1,1988.0,Conventional Hydroelectric,0.05
52,1.0,1,1,1988.0,Conventional Hydroelectric,0.05
53,1.7,1.7,1.7,1983.0,Conventional Hydroelectric,0.05
54,1.7,1.7,1.7,1983.0,Conventional Hydroelectric,0.05
55,0.2,0.2,0.2,1937.0,Conventional Hydroelectric,0.05
56,2.0,2,2,1958.0,Conventional Hydroelectric,0.05
57,2.0,2,2,1958.0,Conventional Hydroelectric,0.05
58,1.9,1.9,1.9,1958.0,Conventional Hydroelectric,0.05
59,133.6,105,106,1959.0,Conventional Steam Coal,0.05
60,133.6,105,106,1961.0,Conventional Steam Coal,0.05
61,255.0,220,220,1964.0,Conventional Steam Coal,0.05
62,400.0,330,330,1972.0,Conventional Steam Coal,0.05
63,192.0,156,156,1963.0,Conventional Steam Coal,0.05
64,256.0,201,201,1968.0,Conventional Steam Coal,0.05
65,384.0,330,330,1971.0,Conventional Steam Coal,0.05
66,5.3,4.5,5.2,2002.0,Natural Gas Fired Combustion Turbine,0.05
67,5.3,4.5,5.2,2002.0,Natural Gas Fired Combustion Turbine,0.05
68,5.3,4.5,5.2,2002.0,Natural Gas Fired Combustion Turbine,0.05
69,1.0,1,0.9,1987.0,Conventional Hydroelectric,0.05
70,1.7,1.7,1.7,1987.0,Conventional Hydroelectric,0.05
71,1.7,1.7,1.7,1987.0,Conventional Hydroelectric,0.05
72,402.3,332,340,1978.0,Conventional Steam Coal,0.05
73,525.0,471,471,1978.0,Conventional Steam Coal,0.05
74,525.0,430,430,1980.0,Conventional Steam Coal,0.05
75,527.2,460,460,1983.0,Conventional Steam Coal,0.05
