Function,Hours,Minutes,Seconds,Percentage
main(begin),0,0,0.001518,0.00%
get_powGen,0,0,0.361794,0.16%
get_demand_data,0,0,0.057335,0.03%
get_conventional_fleet,0,0,19.775042,8.67%
get_solar_and_wind_fleet(begin),0,0,5.030581,2.21%
get_RE_fleet_impl,0,0,0.01086,0.00%
get_solar_and_wind_fleet(end),0,0,0.001544,0.00%
get_cf_index(begin),0,0,0.002072,0.00%
find_nearest_impl,0,0,0.004224,0.00%
get_cf_index(end),0,0,0.001955,0.00%
derate,0,0,0.000647,0.00%
remove_generators(begin),0,0,0.000651,0.00%
get_hourly_fleet_capacity(begin),0,0,0.003224,0.00%
get_hourly_capacity(begin),0,0,0.137754,0.06%
sample_outages_impl,0,3,21.701958,88.46%
get_hourly_capacity(end),0,0,0.216521,0.09%
get_hourly_RE_impl,0,0,0.073445,0.03%
get_hourly_fleet_capacity(end),0,0,0.003011,0.00%
get_lolh,0,0,0.608349,0.27%
remove_generators(end),0,0,0.004662,0.00%
get_RE_generator,0,0,0.000719,0.00%
get_elcc(begin),0,0,0.008234,0.00%
main(end),0,0,0,0.00%
Total,,,228.0061,100.00%
