,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Year,Type,EFOR
0,86.9,64,64,1980.0,Natural Gas Fired Combustion Turbine,0.05
1,12.1,12.1,12.1,1980.0,Conventional Hydroelectric,0.05
2,257.0,253,253,1984.0,Conventional Steam Coal,0.05
3,88.9,67,81.1,1981.0,Natural Gas Fired Combustion Turbine,0.05
4,88.9,67,81.1,1981.0,Natural Gas Fired Combustion Turbine,0.05
5,1.4,1.4,1.4,1981.0,Conventional Hydroelectric,0.05
6,199.8,199.8,199.8,1987.0,Hydroelectric Pumped Storage,0.05
7,312.3,271,271,1980.0,Conventional Steam Coal,0.05
8,414.0,380,380,1981.0,Conventional Steam Coal,0.05
9,91.0,68,80,2001.0,Natural Gas Fired Combined Cycle,0.05
10,44.6,39,40,2001.0,Natural Gas Fired Combined Cycle,0.05
11,184.5,155,160,2003.0,Natural Gas Fired Combined Cycle,0.05
12,184.5,153,160,2003.0,Natural Gas Fired Combined Cycle,0.05
13,200.6,150,166,2003.0,Natural Gas Fired Combined Cycle,0.05
14,78.3,76,79,2002.0,Natural Gas Fired Combustion Turbine,0.05
15,25.3,20,22,1978.0,Petroleum Liquids,0.05
16,60.5,47,49,2008.0,Natural Gas Fired Combustion Turbine,0.05
17,60.5,47,49,2008.0,Natural Gas Fired Combustion Turbine,0.05
18,85.0,75,77.4,2001.0,Natural Gas Fired Combustion Turbine,0.05
19,9.9,10,10,1927.0,Conventional Hydroelectric,0.05
20,9.9,10,10,1927.0,Conventional Hydroelectric,0.05
21,9.9,10,10,1927.0,Conventional Hydroelectric,0.05
22,170.0,148,167,2002.0,Natural Gas Fired Combined Cycle,0.05
23,122.0,106,110,2002.0,Natural Gas Fired Combined Cycle,0.05
24,9.2,11.5,11.5,1926.0,Conventional Hydroelectric,0.05
25,36.0,36,36,1973.0,Conventional Hydroelectric,0.05
26,13.0,13,13,1930.0,Conventional Hydroelectric,0.05
27,71.2,53.5,53.5,1980.0,Petroleum Liquids,0.05
