,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
0,0.2,0.2,0.2,33.5561,-112.2153,1.0
1,3.7,3.7,3.7,34.3186,-109.1639,1.0
2,1.4,1.4,1.4,34.3186,-109.1639,1.0
3,8.3,8.3,8.3,34.3186,-109.1639,1.0
4,20.0,20.0,18.5,34.863356,-116.827627,1.0
5,13.8,13.8,13,34.863356,-116.827627,1.0
6,34.2,36.0,34,35.00694,-117.555768,1.0
7,34.2,36.0,34,35.012166,-117.555672,1.0
8,34.2,36.0,34,35.01948,-117.55553,1.0
9,35.0,36.0,35,35.020981,-117.566079,1.0
10,35.0,36.0,35,35.014836,-117.565903,1.0
11,92.0,88.0,64,35.0308,-117.3563,1.0
12,92.0,88.0,64,35.033,-117.338,1.0
13,0.1,0.1,0.1,32.778225,-117.070114,1.0
14,0.3,0.3,0.2,32.778225,-117.070114,1.0
15,0.3,0.3,0.2,32.778225,-117.070114,1.0
16,0.1,0.1,0.1,32.778225,-117.070114,1.0
17,22.0,21.8,21.8,39.547537,-118.555613,1.0
18,2.1,2.1,2.1,34.6584,-112.4008,1.0
19,0.5,0.5,0.5,47.036269,-120.206494,1.0
20,75.7,68.5,40,35.799798,-114.98173,1.0
21,1.0,1.0,1,37.690304,-105.880501,1.0
22,7.2,6.7,6.7,37.690304,-105.880501,1.0
23,1.0,1.0,1,39.5603,-119.5108,1.0
24,4.9,4.9,4.9,36.260278,-115.0544,1.0
25,5.2,5.2,5.2,36.260278,-115.0544,1.0
26,3.9,3.9,3.9,36.260278,-115.0544,1.0
27,5.0,5.0,5,36.7575,-120.3658,1.0
28,140.0,147.7,140,32.922294,-112.95594,1.0
29,140.0,147.7,140,32.922294,-112.95594,1.0
30,0.5,0.5,0.5,36.809841,-119.741665,1.0
31,0.5,0.5,0.5,36.809841,-119.741665,1.0
32,0.5,0.4,0.3,34.040278,-118.148056,1.0
33,0.5,0.4,0.3,34.040278,-118.148056,1.0
34,1.9,1.9,1.8,39.836789,-104.697149,1.0
35,0.3,0.3,0.3,34.5644,-117.6933,1.0
36,0.3,0.3,0.3,34.5644,-117.6933,1.0
