,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
0,4.5,4.0,4.0,38.033327,-102.537915,1.0
1,1.5,1.5,1.5,38.033327,-102.537915,1.0
2,0.7,0.7,0.7,41.835278,-106.242778,1.0
3,0.7,0.7,0.7,41.835278,-106.242778,1.0
4,0.6,0.6,0.6,41.835278,-106.242778,1.0
5,0.6,0.6,0.6,41.835278,-106.242778,1.0
6,0.7,0.7,0.7,41.835278,-106.242778,1.0
7,0.7,0.7,0.7,41.835278,-106.242778,1.0
8,0.7,0.7,0.7,41.835278,-106.242778,1.0
9,0.7,0.7,0.7,41.835278,-106.242778,1.0
10,0.7,0.7,0.7,41.835278,-106.242778,1.0
11,13.2,13.1,13.2,38.116415,-121.769031,1.0
12,24.0,24.0,24.0,38.116415,-121.769031,1.0
13,63.0,63.0,63.0,38.116415,-121.769031,1.0
14,128.0,128.0,128.0,38.116415,-121.769031,1.0
15,95.9,95.0,95.0,46.0958,-119.0964,1.0
16,9.4,9.4,9.4,33.9447,-116.6222,1.0
17,8.7,8.7,8.7,35.060556,-118.389722,1.0
18,59.6,59.6,59.6,35.075,-118.3158,1.0
19,29.0,29.0,29.0,35.0697,-118.3167,1.0
20,11.7,11.7,11.7,33.92194,-116.56222,1.0
21,5.9,5.9,5.9,33.9131,-116.5631,1.0
22,31.0,31.0,31.0,33.926111,-116.615,1.0
23,15.3,15.3,15.3,35.0522,-118.3581,1.0
24,21.7,21.7,21.7,33.915023,-116.555064,1.0
25,3.4,3.4,3.4,33.915023,-116.555064,1.0
26,1.5,1.5,1.5,35.0686,-118.3833,1.0
27,17.3,17.3,17.3,35.0686,-118.3833,1.0
28,19.0,19.0,19.0,33.9369,-116.6183,1.0
29,29.9,29.9,29.9,33.9461,-116.6769,1.0
30,76.9,76.9,76.9,35.2608,-118.2469,1.0
31,38.9,38.9,38.9,33.914986,-116.71026,1.0
32,20.0,20.0,20.0,33.881667,-116.460278,1.0
33,43.4,43.4,43.4,33.934,-116.5781,1.0
34,3.5,3.5,3.5,35.043889,-118.276388,1.0
35,4.2,4.2,4.2,35.043889,-118.276388,1.0
36,23.1,23.1,23.1,35.043889,-118.276388,1.0
37,3.7,3.7,3.7,35.043889,-118.276388,1.0
38,3.0,3.0,3.0,33.890913,-116.541515,1.0
39,48.0,48.0,48.0,35.045,-118.2642,1.0
40,40.5,40.5,40.5,35.046,-118.2757,1.0
41,29.0,24.3,24.3,35.0506,-118.2572,1.0
42,23.5,22.7,22.7,35.068,-118.2898,1.0
43,22.5,20.0,20.0,35.076,-118.2487,1.0
44,22.0,22.0,22.0,35.076,-118.3664,1.0
45,18.4,18.4,18.4,35.0853,-118.3547,1.0
46,14.1,14.1,14.1,35.1011,-118.3372,1.0
47,21.2,21.2,21.2,35.1011,-118.3372,1.0
48,1.8,1.8,1.8,35.0908,-118.3936,1.0
49,7.5,7.5,7.5,35.0583,-118.3417,1.0
50,3.0,3.0,3.0,35.075,-118.3417,1.0
51,4.5,4.5,4.5,35.0583,-118.3083,1.0
52,15.5,15.5,15.5,38.1167,-121.8333,1.0
53,49.5,49.5,49.5,33.918395,-116.573906,1.0
54,28.7,28.7,28.7,35.05,-118.2572,1.0
55,9.1,9.1,9.1,33.942,-116.661,1.0
56,9.6,9.6,9.6,33.942,-116.661,1.0
57,7.3,7.3,7.3,33.898856,-116.57281,1.0
58,5.5,5.4,5.4,33.893685,-116.567811,1.0
59,11.7,11.6,11.6,33.887401,-116.578231,1.0
60,27.1,25.3,25.3,35.0506,-118.1714,1.0
