Function,Hours,Minutes,Seconds,Percentage
main(begin),0,0,0.001483,0.00%
get_powGen,0,0,0.361981,0.01%
get_demand_data,0,0,0.056854,0.00%
get_conventional_fleet,0,0,19.848764,0.45%
get_solar_and_wind_fleet(begin),0,0,5.045971,0.11%
get_RE_fleet_impl,0,0,0.013009,0.00%
get_solar_and_wind_fleet(end),0,0,0.001448,0.00%
get_cf_index(begin),0,0,0.002131,0.00%
find_nearest_impl,0,0,0.010171,0.00%
get_cf_index(end),0,0,0.002074,0.00%
derate,0,0,0.000622,0.00%
remove_generators(begin),0,0,0.000627,0.00%
get_hourly_fleet_capacity(begin),0,0,0.027083,0.00%
get_hourly_capacity(begin),0,0,22.136869,0.50%
sample_outages_impl,1,12,0.480695,97.82%
get_hourly_capacity(end),0,0,7.618174,0.17%
get_hourly_RE_impl,0,0,40.699007,0.92%
get_hourly_fleet_capacity(end),0,0,0.037476,0.00%
get_lolh,0,0,0.478001,0.01%
remove_oldest_impl,0,0,0.037742,0.00%
remove_generators(end),0,0,0.001142,0.00%
get_RE_generator,0,0,0.000758,0.00%
get_elcc(begin),0,0,0.008223,0.00%
main(end),0,0,0,0.00%
Total,,,4416.870305,100.00%
