,ELCC,latitude,longitude
0,42 ,38.0,-121.875
1,21 ,46.0,-116.875
2,19 ,37.0,-118.125
3,21 ,38.0,-115.625
4,22 ,34.0,-108.125
5,36 ,32.0,-113.125
6,39 ,42.0,-108.125
7,30 ,47.0,-106.875
8,22 ,38.0,-114.375
9,36 ,46.0,-109.375
10,22 ,36.0,-114.375
11,27 ,47.0,-109.375
12,19 ,46.0,-114.375
13,27 ,35.0,-119.375
14,19 ,46.0,-115.625
15,50 ,32.0,-114.375
16,30 ,32.0,-111.875
17,21 ,46.0,-119.375
18,19 ,47.0,-116.875
19,22 ,44.0,-113.125
20,28 ,41.0,-120.625
21,27 ,35.0,-114.375
22,22 ,42.0,-121.875
23,35 ,42.0,-114.375
24,25 ,41.0,-114.375
25,24 ,45.0,-114.375
26,25 ,48.0,-106.875
27,25 ,45.0,-120.625
28,24 ,33.0,-118.125
29,24 ,36.0,-106.875
30,25 ,46.0,-110.625
31,27 ,45.0,-123.125
32,27 ,44.0,-118.125
33,41 ,32.0,-119.375
34,19 ,49.0,-121.875
35,24 ,36.0,-110.625
36,21 ,41.0,-121.875
37,22 ,32.0,-116.875
38,35 ,40.0,-109.375
39,19 ,48.0,-118.125
40,64 ,45.0,-124.375
41,25 ,45.0,-119.375
42,21 ,46.0,-120.625
43,41 ,34.0,-124.375
44,25 ,37.0,-111.875
45,32 ,40.0,-110.625
46,28 ,35.0,-118.125
47,28 ,34.0,-111.875
48,22 ,40.0,-121.875
49,19 ,49.0,-115.625
50,32 ,32.0,-106.875
51,22 ,37.0,-109.375
52,24 ,33.0,-110.625
53,25 ,33.0,-109.375
54,19 ,44.0,-110.625
55,19 ,48.0,-116.875
56,22 ,44.0,-123.125
57,47 ,37.0,-120.625
58,24 ,34.0,-106.875
59,30 ,34.0,-113.125
60,25 ,45.0,-118.125
61,32 ,45.0,-108.125
62,52 ,46.0,-124.375
63,21 ,49.0,-108.125
64,28 ,37.0,-113.125
65,21 ,49.0,-111.875
66,25 ,35.0,-116.875
67,27 ,38.0,-109.375
68,19 ,44.0,-109.375
69,21 ,49.0,-106.875
70,21 ,39.0,-118.125
71,27 ,36.0,-115.625
72,22 ,36.0,-108.125
73,19 ,47.0,-115.625
74,28 ,48.0,-110.625
75,46 ,43.0,-115.625
76,21 ,45.0,-109.375
77,22 ,38.0,-106.875
78,50 ,39.0,-124.375
79,19 ,32.0,-109.375
80,19 ,45.0,-110.625
81,25 ,44.0,-106.875
82,24 ,39.0,-119.375
83,19 ,49.0,-113.125
84,41 ,42.0,-109.375
85,19 ,41.0,-111.875
86,25 ,47.0,-120.625
87,25 ,35.0,-106.875
88,21 ,38.0,-119.375
89,53 ,40.0,-124.375
90,25 ,47.0,-111.875
91,53 ,38.0,-124.375
92,33 ,33.0,-111.875
93,22 ,46.0,-121.875
94,27 ,34.0,-116.875
95,19 ,40.0,-106.875
96,24 ,46.0,-111.875
97,24 ,42.0,-110.625
98,22 ,42.0,-113.125
99,22 ,38.0,-111.875
100,19 ,49.0,-124.375
101,19 ,49.0,-123.125
102,55 ,36.0,-124.375
103,21 ,44.0,-115.625
104,19 ,47.0,-121.875
105,19 ,39.0,-116.875
106,19 ,48.0,-124.375
107,32 ,45.0,-106.875
108,28 ,48.0,-111.875
109,30 ,38.0,-120.625
110,21 ,34.0,-118.125
111,27 ,33.0,-116.875
112,35 ,46.0,-108.125
113,21 ,48.0,-114.375
114,55 ,42.0,-124.375
115,42 ,32.0,-120.625
116,49 ,41.0,-109.375
117,24 ,40.0,-120.625
118,44 ,43.0,-114.375
119,21 ,37.0,-119.375
120,27 ,43.0,-118.125
121,21 ,36.0,-113.125
122,33 ,38.0,-123.125
123,27 ,43.0,-116.875
124,24 ,41.0,-110.625
125,21 ,37.0,-121.875
126,19 ,42.0,-111.875
127,19 ,45.0,-111.875
128,22 ,35.0,-115.625
129,28 ,44.0,-119.375
130,38 ,34.0,-123.125
131,24 ,43.0,-120.625
132,19 ,49.0,-120.625
133,32 ,42.0,-116.875
134,19 ,41.0,-118.125
135,47 ,34.0,-120.625
136,33 ,37.0,-123.125
137,19 ,45.0,-121.875
138,21 ,32.0,-115.625
139,38 ,43.0,-108.125
140,24 ,46.0,-123.125
141,25 ,40.0,-113.125
142,32 ,33.0,-115.625
143,24 ,45.0,-116.875
144,30 ,34.0,-119.375
145,22 ,36.0,-118.125
146,24 ,40.0,-115.625
147,19 ,43.0,-111.875
148,22 ,35.0,-120.625
149,21 ,40.0,-114.375
150,19 ,39.0,-114.375
151,19 ,49.0,-116.875
152,32 ,39.0,-110.625
153,24 ,36.0,-116.875
154,19 ,48.0,-121.875
155,21 ,47.0,-113.125
156,21 ,34.0,-110.625
157,19 ,49.0,-118.125
158,33 ,46.0,-106.875
159,27 ,35.0,-113.125
160,25 ,40.0,-116.875
161,19 ,48.0,-115.625
162,22 ,45.0,-113.125
163,21 ,43.0,-121.875
164,19 ,38.0,-108.125
165,22 ,40.0,-111.875
166,36 ,33.0,-123.125
167,38 ,33.0,-113.125
168,58 ,44.0,-124.375
169,21 ,39.0,-106.875
170,33 ,33.0,-124.375
171,21 ,41.0,-113.125
172,28 ,37.0,-115.625
173,24 ,35.0,-109.375
174,50 ,35.0,-124.375
175,35 ,39.0,-121.875
176,21 ,32.0,-110.625
177,19 ,47.0,-114.375
178,19 ,39.0,-120.625
179,21 ,39.0,-123.125
180,21 ,44.0,-121.875
181,28 ,36.0,-119.375
182,21 ,46.0,-113.125
183,28 ,39.0,-109.375
184,42 ,43.0,-124.375
185,30 ,32.0,-124.375
186,33 ,33.0,-114.375
187,28 ,36.0,-120.625
188,22 ,44.0,-114.375
189,19 ,43.0,-110.625
190,25 ,37.0,-116.875
191,36 ,42.0,-106.875
192,21 ,36.0,-111.875
193,19 ,48.0,-123.125
194,39 ,41.0,-108.125
195,22 ,49.0,-109.375
196,22 ,34.0,-109.375
197,39 ,33.0,-121.875
198,19 ,41.0,-106.875
199,38 ,36.0,-123.125
200,25 ,42.0,-118.125
201,19 ,47.0,-118.125
202,21 ,43.0,-109.375
203,28 ,41.0,-116.875
204,21 ,38.0,-113.125
205,22 ,38.0,-118.125
206,44 ,41.0,-124.375
207,33 ,47.0,-108.125
208,39 ,34.0,-121.875
209,19 ,41.0,-123.125
210,36 ,35.0,-121.875
211,25 ,37.0,-114.375
212,24 ,44.0,-111.875
213,25 ,38.0,-116.875
214,22 ,41.0,-119.375
215,38 ,32.0,-121.875
216,22 ,34.0,-115.625
217,19 ,48.0,-119.375
218,25 ,36.0,-121.875
219,27 ,39.0,-111.875
220,46 ,33.0,-120.625
221,22 ,37.0,-106.875
222,19 ,47.0,-119.375
223,21 ,36.0,-109.375
224,19 ,46.0,-118.125
225,27 ,39.0,-115.625
226,32 ,44.0,-108.125
227,42 ,44.0,-120.625
228,19 ,35.0,-111.875
229,32 ,43.0,-119.375
230,21 ,33.0,-106.875
231,24 ,35.0,-110.625
232,25 ,48.0,-109.375
233,19 ,40.0,-118.125
234,19 ,49.0,-114.375
235,39 ,35.0,-123.125
236,19 ,40.0,-123.125
237,36 ,42.0,-115.625
238,28 ,44.0,-116.875
239,28 ,37.0,-110.625
240,27 ,40.0,-108.125
241,21 ,48.0,-113.125
242,21 ,45.0,-115.625
243,19 ,47.0,-123.125
244,25 ,43.0,-123.125
245,55 ,37.0,-124.375
246,22 ,39.0,-108.125
247,22 ,47.0,-110.625
248,46 ,47.0,-124.375
249,22 ,42.0,-120.625
250,44 ,33.0,-119.375
251,19 ,49.0,-119.375
252,24 ,38.0,-110.625
253,21 ,32.0,-108.125
254,28 ,39.0,-113.125
255,22 ,42.0,-123.125
256,21 ,49.0,-110.625
257,24 ,40.0,-119.375
258,30 ,42.0,-119.375
259,24 ,48.0,-108.125
260,21 ,33.0,-108.125
261,21 ,35.0,-108.125
262,30 ,32.0,-118.125
263,25 ,34.0,-114.375
264,36 ,43.0,-113.125
265,19 ,48.0,-120.625
266,35 ,37.0,-108.125
267,33 ,32.0,-123.125
268,46 ,43.0,-106.875
269,27 ,41.0,-115.625
