,ELCC,latitude,longitude
0,21 ,44.0,-115.625
1,21 ,41.0,-115.625
2,24 ,39.0,-124.375
3,22 ,43.0,-121.875
4,19 ,35.0,-106.875
5,21 ,47.0,-116.875
6,21 ,36.0,-116.875
7,22 ,46.0,-121.875
8,19 ,37.0,-106.875
9,21 ,40.0,-115.625
10,21 ,42.0,-113.125
11,22 ,49.0,-119.375
12,22 ,47.0,-120.625
13,21 ,39.0,-116.875
14,22 ,47.0,-118.125
15,22 ,40.0,-123.125
16,21 ,49.0,-111.875
17,21 ,48.0,-116.875
18,21 ,37.0,-118.125
19,21 ,42.0,-116.875
20,21 ,47.0,-113.125
21,21 ,39.0,-115.625
22,24 ,33.0,-124.375
23,21 ,45.0,-114.375
24,24 ,43.0,-124.375
25,21 ,49.0,-116.875
26,19 ,47.0,-109.375
27,22 ,48.0,-123.125
28,19 ,41.0,-111.875
29,19 ,46.0,-110.625
30,21 ,35.0,-115.625
31,22 ,37.0,-123.125
32,22 ,33.0,-121.875
33,21 ,45.0,-111.875
34,21 ,39.0,-118.125
35,22 ,35.0,-123.125
36,21 ,37.0,-120.625
37,22 ,40.0,-119.375
38,21 ,35.0,-118.125
39,21 ,41.0,-116.875
40,21 ,44.0,-116.875
41,21 ,47.0,-110.625
42,24 ,38.0,-124.375
43,22 ,48.0,-119.375
44,21 ,43.0,-111.875
45,21 ,45.0,-113.125
46,19 ,44.0,-106.875
47,22 ,41.0,-119.375
48,21 ,33.0,-119.375
49,19 ,35.0,-110.625
50,19 ,32.0,-109.375
51,21 ,40.0,-116.875
52,19 ,39.0,-113.125
53,21 ,35.0,-116.875
54,21 ,41.0,-113.125
55,19 ,37.0,-111.875
56,21 ,48.0,-113.125
57,19 ,42.0,-106.875
58,21 ,45.0,-115.625
59,22 ,44.0,-123.125
60,21 ,42.0,-115.625
61,19 ,35.0,-109.375
62,22 ,37.0,-121.875
63,22 ,47.0,-123.125
64,22 ,43.0,-120.625
65,21 ,36.0,-118.125
66,24 ,47.0,-124.375
67,19 ,38.0,-114.375
68,24 ,48.0,-124.375
69,22 ,45.0,-121.875
70,19 ,47.0,-106.875
71,22 ,32.0,-123.125
72,24 ,44.0,-124.375
73,19 ,37.0,-110.625
74,21 ,36.0,-115.625
75,19 ,33.0,-115.625
76,21 ,40.0,-118.125
77,19 ,46.0,-108.125
78,21 ,49.0,-114.375
79,22 ,42.0,-123.125
80,22 ,38.0,-121.875
