,ELCC,latitude,longitude
0,0 ,40.0,-110.625
1,5 ,40.0,-123.125
2,7 ,49.0,-123.125
3,0 ,38.0,-113.125
4,5 ,43.0,-119.375
5,0 ,42.0,-108.125
6,0 ,41.0,-110.625
7,2 ,46.0,-110.625
8,2 ,40.0,-113.125
9,3 ,43.0,-118.125
10,2 ,49.0,-114.375
11,0 ,40.0,-111.875
12,2 ,43.0,-114.375
13,2 ,34.0,-118.125
14,7 ,49.0,-124.375
15,0 ,40.0,-106.875
16,2 ,44.0,-110.625
17,2 ,40.0,-114.375
18,5 ,49.0,-121.875
19,3 ,41.0,-118.125
20,0 ,34.0,-108.125
21,3 ,35.0,-119.375
22,0 ,32.0,-111.875
23,2 ,41.0,-111.875
24,3 ,49.0,-115.625
25,3 ,45.0,-115.625
26,0 ,41.0,-108.125
27,7 ,47.0,-123.125
28,0 ,33.0,-111.875
29,0 ,40.0,-109.375
30,0 ,42.0,-109.375
31,2 ,38.0,-116.875
32,0 ,34.0,-111.875
33,3 ,32.0,-120.625
34,3 ,33.0,-119.375
35,0 ,35.0,-106.875
36,0 ,36.0,-113.125
37,3 ,48.0,-116.875
38,0 ,39.0,-106.875
39,0 ,35.0,-111.875
40,0 ,33.0,-106.875
41,5 ,40.0,-121.875
42,7 ,45.0,-123.125
43,0 ,43.0,-110.625
44,0 ,33.0,-114.375
45,0 ,38.0,-111.875
46,3 ,39.0,-118.125
47,5 ,46.0,-120.625
48,3 ,44.0,-118.125
49,0 ,45.0,-109.375
50,0 ,40.0,-108.125
51,3 ,42.0,-119.375
52,0 ,32.0,-108.125
53,3 ,45.0,-116.875
54,2 ,35.0,-115.625
55,5 ,45.0,-121.875
56,3 ,36.0,-119.375
57,2 ,49.0,-113.125
58,5 ,38.0,-121.875
59,0 ,43.0,-109.375
60,0 ,41.0,-109.375
61,5 ,33.0,-121.875
62,0 ,39.0,-111.875
63,7 ,40.0,-124.375
64,2 ,46.0,-113.125
65,3 ,43.0,-115.625
66,2 ,47.0,-109.375
67,3 ,37.0,-119.375
68,7 ,45.0,-124.375
69,5 ,38.0,-120.625
70,7 ,37.0,-123.125
71,3 ,47.0,-118.125
72,0 ,35.0,-113.125
73,7 ,37.0,-124.375
74,0 ,33.0,-110.625
75,2 ,41.0,-113.125
76,5 ,39.0,-123.125
77,5 ,45.0,-120.625
78,3 ,41.0,-119.375
79,5 ,39.0,-120.625
80,7 ,36.0,-123.125
81,3 ,41.0,-116.875
82,2 ,45.0,-113.125
83,7 ,36.0,-124.375
84,5 ,46.0,-121.875
85,3 ,45.0,-114.375
86,2 ,41.0,-115.625
87,2 ,47.0,-111.875
88,0 ,32.0,-114.375
89,3 ,34.0,-119.375
90,2 ,35.0,-114.375
91,0 ,37.0,-106.875
92,0 ,44.0,-108.125
93,7 ,32.0,-124.375
94,0 ,44.0,-106.875
95,5 ,47.0,-121.875
96,0 ,34.0,-113.125
97,0 ,46.0,-109.375
98,0 ,36.0,-111.875
99,0 ,35.0,-109.375
100,2 ,40.0,-115.625
101,5 ,42.0,-120.625
102,7 ,42.0,-124.375
103,0 ,38.0,-109.375
104,0 ,41.0,-106.875
105,0 ,33.0,-109.375
106,2 ,37.0,-115.625
107,2 ,47.0,-110.625
108,2 ,46.0,-111.875
109,5 ,35.0,-121.875
110,7 ,46.0,-124.375
111,0 ,36.0,-110.625
112,3 ,36.0,-121.875
113,3 ,43.0,-116.875
114,5 ,49.0,-120.625
115,3 ,37.0,-120.625
116,7 ,43.0,-124.375
117,0 ,34.0,-109.375
118,0 ,49.0,-106.875
119,2 ,34.0,-115.625
120,3 ,34.0,-120.625
121,3 ,38.0,-119.375
122,2 ,44.0,-114.375
123,5 ,43.0,-120.625
124,2 ,45.0,-110.625
125,0 ,34.0,-106.875
126,5 ,47.0,-120.625
127,3 ,35.0,-118.125
128,0 ,32.0,-113.125
129,2 ,38.0,-114.375
130,5 ,37.0,-121.875
131,2 ,41.0,-114.375
132,5 ,32.0,-121.875
133,5 ,34.0,-123.125
134,2 ,36.0,-115.625
135,3 ,36.0,-118.125
136,5 ,33.0,-123.125
137,3 ,42.0,-115.625
138,2 ,37.0,-118.125
139,2 ,42.0,-113.125
140,0 ,36.0,-108.125
141,2 ,44.0,-111.875
142,2 ,39.0,-113.125
143,2 ,48.0,-114.375
144,0 ,35.0,-108.125
145,5 ,48.0,-121.875
146,2 ,39.0,-115.625
147,0 ,49.0,-108.125
148,0 ,37.0,-111.875
149,5 ,48.0,-120.625
150,7 ,38.0,-124.375
151,5 ,44.0,-121.875
152,7 ,44.0,-123.125
153,0 ,35.0,-110.625
154,3 ,42.0,-116.875
155,5 ,49.0,-119.375
156,5 ,42.0,-121.875
157,0 ,46.0,-106.875
158,2 ,47.0,-113.125
159,7 ,48.0,-123.125
160,0 ,38.0,-108.125
161,0 ,33.0,-108.125
162,0 ,43.0,-108.125
163,5 ,47.0,-119.375
164,2 ,48.0,-110.625
165,2 ,48.0,-109.375
166,0 ,39.0,-108.125
167,7 ,35.0,-124.375
168,3 ,48.0,-115.625
169,2 ,48.0,-113.125
170,7 ,46.0,-123.125
171,2 ,36.0,-116.875
172,0 ,47.0,-106.875
173,2 ,39.0,-114.375
174,0 ,37.0,-110.625
175,0 ,37.0,-109.375
176,2 ,33.0,-118.125
177,2 ,37.0,-116.875
178,3 ,36.0,-120.625
179,5 ,41.0,-121.875
180,5 ,34.0,-121.875
181,0 ,33.0,-113.125
182,2 ,38.0,-115.625
183,2 ,32.0,-116.875
184,5 ,40.0,-120.625
185,0 ,36.0,-109.375
186,2 ,43.0,-111.875
187,2 ,49.0,-110.625
188,0 ,32.0,-115.625
189,5 ,39.0,-121.875
190,3 ,48.0,-118.125
191,3 ,49.0,-116.875
192,7 ,34.0,-124.375
193,5 ,43.0,-121.875
194,0 ,38.0,-110.625
195,3 ,44.0,-116.875
196,3 ,40.0,-116.875
197,3 ,47.0,-115.625
198,7 ,47.0,-124.375
199,0 ,47.0,-108.125
200,3 ,39.0,-119.375
201,2 ,45.0,-111.875
202,7 ,44.0,-124.375
203,0 ,42.0,-106.875
204,3 ,42.0,-118.125
205,7 ,33.0,-124.375
206,3 ,47.0,-116.875
207,2 ,42.0,-111.875
208,0 ,44.0,-109.375
209,0 ,39.0,-109.375
210,0 ,45.0,-106.875
211,3 ,46.0,-115.625
212,7 ,41.0,-124.375
213,2 ,32.0,-118.125
214,2 ,36.0,-114.375
215,5 ,44.0,-119.375
216,2 ,48.0,-111.875
217,5 ,45.0,-119.375
218,2 ,49.0,-111.875
219,0 ,38.0,-106.875
220,3 ,33.0,-120.625
221,2 ,33.0,-115.625
222,5 ,46.0,-119.375
223,0 ,34.0,-114.375
224,0 ,46.0,-108.125
225,3 ,40.0,-118.125
226,0 ,34.0,-110.625
227,2 ,49.0,-109.375
228,7 ,35.0,-123.125
229,7 ,39.0,-124.375
230,3 ,35.0,-120.625
231,2 ,35.0,-116.875
232,3 ,49.0,-118.125
233,2 ,34.0,-116.875
234,7 ,41.0,-123.125
235,3 ,46.0,-116.875
236,7 ,42.0,-123.125
237,2 ,44.0,-113.125
238,5 ,44.0,-120.625
239,0 ,43.0,-106.875
240,0 ,48.0,-108.125
241,0 ,48.0,-106.875
242,2 ,33.0,-116.875
243,3 ,32.0,-119.375
244,7 ,38.0,-123.125
245,3 ,45.0,-118.125
246,2 ,47.0,-114.375
247,2 ,39.0,-116.875
248,7 ,43.0,-123.125
249,2 ,42.0,-114.375
250,0 ,32.0,-110.625
251,2 ,37.0,-114.375
252,5 ,32.0,-123.125
253,2 ,44.0,-115.625
254,7 ,48.0,-124.375
255,0 ,45.0,-108.125
256,3 ,46.0,-118.125
257,3 ,40.0,-119.375
258,0 ,32.0,-106.875
259,0 ,36.0,-106.875
260,5 ,41.0,-120.625
261,5 ,48.0,-119.375
262,0 ,37.0,-113.125
263,2 ,43.0,-113.125
264,0 ,32.0,-109.375
265,3 ,38.0,-118.125
266,3 ,46.0,-114.375
267,0 ,39.0,-110.625
268,0 ,37.0,-108.125
269,0 ,42.0,-110.625
