,ELCC,latitude,longitude
0,57 ,35.0,-118.125
1,57 ,41.0,-110.625
2,57 ,47.0,-109.375
3,57 ,40.0,-109.375
4,57 ,49.0,-123.125
5,57 ,48.0,-115.625
6,57 ,42.0,-118.125
7,57 ,47.0,-110.625
8,57 ,35.0,-115.625
9,57 ,36.0,-114.375
10,57 ,37.0,-113.125
11,57 ,48.0,-110.625
12,57 ,46.0,-115.625
13,57 ,49.0,-106.875
14,57 ,34.0,-114.375
15,57 ,34.0,-108.125
16,57 ,45.0,-121.875
17,57 ,40.0,-110.625
18,57 ,44.0,-124.375
19,57 ,36.0,-124.375
20,57 ,39.0,-120.625
21,57 ,34.0,-124.375
22,57 ,41.0,-114.375
23,57 ,44.0,-108.125
24,57 ,37.0,-119.375
25,57 ,46.0,-123.125
26,57 ,32.0,-121.875
27,57 ,41.0,-106.875
28,57 ,36.0,-121.875
29,57 ,33.0,-110.625
30,57 ,40.0,-114.375
31,57 ,45.0,-124.375
32,57 ,35.0,-113.125
33,57 ,37.0,-108.125
34,57 ,36.0,-115.625
35,57 ,46.0,-121.875
36,57 ,46.0,-109.375
37,57 ,44.0,-123.125
38,57 ,41.0,-113.125
39,57 ,41.0,-115.625
40,57 ,41.0,-116.875
41,57 ,46.0,-106.875
42,57 ,33.0,-108.125
43,57 ,47.0,-115.625
44,57 ,44.0,-116.875
45,57 ,43.0,-123.125
46,57 ,35.0,-114.375
47,57 ,34.0,-106.875
48,57 ,40.0,-113.125
49,57 ,44.0,-113.125
50,57 ,42.0,-116.875
51,57 ,42.0,-108.125
52,57 ,43.0,-111.875
53,57 ,32.0,-109.375
54,57 ,44.0,-111.875
55,57 ,37.0,-121.875
56,57 ,39.0,-111.875
57,57 ,42.0,-113.125
58,57 ,38.0,-111.875
59,57 ,39.0,-109.375
60,57 ,39.0,-113.125
61,57 ,40.0,-115.625
62,57 ,32.0,-123.125
63,57 ,45.0,-123.125
64,57 ,45.0,-109.375
65,57 ,38.0,-116.875
66,57 ,38.0,-118.125
67,57 ,46.0,-110.625
68,57 ,35.0,-110.625
69,57 ,38.0,-108.125
70,57 ,47.0,-116.875
71,57 ,42.0,-106.875
72,57 ,43.0,-115.625
73,57 ,33.0,-121.875
74,57 ,39.0,-110.625
75,57 ,37.0,-111.875
76,57 ,48.0,-119.375
77,57 ,35.0,-109.375
78,57 ,36.0,-119.375
79,57 ,43.0,-113.125
80,57 ,45.0,-115.625
81,57 ,47.0,-124.375
82,57 ,39.0,-106.875
83,57 ,42.0,-109.375
84,57 ,34.0,-110.625
85,57 ,39.0,-119.375
86,57 ,41.0,-121.875
87,57 ,44.0,-118.125
88,57 ,48.0,-123.125
89,57 ,36.0,-110.625
90,57 ,48.0,-120.625
91,57 ,41.0,-124.375
92,57 ,43.0,-116.875
93,57 ,49.0,-116.875
94,57 ,33.0,-120.625
95,57 ,32.0,-119.375
96,57 ,49.0,-119.375
97,57 ,33.0,-115.625
98,57 ,36.0,-113.125
99,57 ,44.0,-114.375
100,57 ,49.0,-124.375
101,57 ,34.0,-115.625
102,57 ,44.0,-120.625
103,57 ,42.0,-124.375
104,57 ,45.0,-106.875
105,57 ,48.0,-121.875
106,57 ,36.0,-116.875
107,57 ,32.0,-120.625
108,57 ,41.0,-123.125
109,57 ,43.0,-109.375
110,57 ,47.0,-118.125
111,57 ,48.0,-118.125
112,57 ,45.0,-116.875
113,57 ,41.0,-120.625
114,57 ,44.0,-106.875
115,57 ,45.0,-114.375
116,57 ,32.0,-116.875
117,57 ,34.0,-121.875
118,57 ,37.0,-124.375
119,57 ,35.0,-116.875
120,57 ,32.0,-118.125
121,57 ,45.0,-113.125
122,57 ,43.0,-121.875
123,57 ,43.0,-114.375
124,57 ,37.0,-118.125
125,57 ,37.0,-116.875
126,57 ,32.0,-113.125
127,57 ,37.0,-106.875
128,57 ,38.0,-121.875
129,57 ,49.0,-113.125
130,57 ,43.0,-108.125
131,57 ,43.0,-118.125
132,57 ,48.0,-116.875
133,57 ,36.0,-109.375
134,57 ,48.0,-113.125
135,57 ,49.0,-118.125
136,57 ,35.0,-108.125
137,57 ,37.0,-109.375
138,57 ,46.0,-108.125
139,57 ,45.0,-111.875
140,57 ,44.0,-121.875
141,57 ,44.0,-115.625
142,57 ,38.0,-123.125
143,57 ,42.0,-121.875
144,57 ,49.0,-111.875
145,57 ,49.0,-108.125
146,57 ,39.0,-114.375
147,57 ,32.0,-114.375
148,57 ,37.0,-120.625
149,57 ,48.0,-114.375
150,57 ,39.0,-123.125
151,57 ,38.0,-113.125
152,57 ,36.0,-123.125
153,57 ,40.0,-121.875
154,57 ,32.0,-111.875
155,57 ,32.0,-124.375
156,57 ,41.0,-118.125
157,57 ,38.0,-120.625
158,57 ,34.0,-109.375
159,57 ,43.0,-124.375
160,57 ,36.0,-106.875
161,57 ,37.0,-114.375
162,57 ,34.0,-116.875
163,57 ,47.0,-106.875
164,57 ,32.0,-106.875
165,57 ,38.0,-110.625
166,57 ,47.0,-119.375
167,57 ,47.0,-111.875
168,57 ,44.0,-119.375
169,57 ,40.0,-108.125
