,ELCC,latitude,longitude
0,2 ,32.0,-110.625
1,36 ,41.0,-124.375
2,22 ,32.0,-123.125
3,5 ,33.0,-118.125
4,2 ,47.0,-113.125
5,5 ,36.0,-110.625
6,3 ,39.0,-118.125
7,49 ,37.0,-124.375
8,13 ,42.0,-106.875
9,33 ,33.0,-119.375
10,2 ,48.0,-114.375
11,0 ,37.0,-118.125
12,2 ,48.0,-113.125
13,2 ,48.0,-118.125
14,7 ,39.0,-119.375
15,7 ,33.0,-110.625
16,0 ,41.0,-111.875
17,8 ,40.0,-116.875
18,0 ,48.0,-124.375
19,8 ,40.0,-120.625
20,11 ,36.0,-119.375
21,5 ,37.0,-109.375
22,50 ,36.0,-124.375
23,3 ,36.0,-113.125
24,0 ,37.0,-119.375
25,44 ,38.0,-124.375
26,0 ,48.0,-120.625
27,0 ,49.0,-113.125
28,0 ,49.0,-119.375
29,0 ,41.0,-123.125
30,7 ,38.0,-110.625
31,22 ,39.0,-121.875
32,8 ,46.0,-110.625
33,10 ,38.0,-109.375
34,2 ,36.0,-111.875
35,3 ,44.0,-115.625
36,5 ,47.0,-110.625
37,8 ,41.0,-114.375
38,2 ,46.0,-116.875
39,7 ,44.0,-111.875
40,5 ,42.0,-121.875
41,2 ,33.0,-108.125
42,57 ,44.0,-124.375
43,17 ,46.0,-106.875
44,0 ,40.0,-123.125
45,0 ,44.0,-110.625
46,17 ,32.0,-124.375
47,14 ,41.0,-120.625
48,8 ,44.0,-106.875
49,2 ,39.0,-123.125
50,8 ,42.0,-110.625
51,8 ,45.0,-118.125
52,0 ,45.0,-111.875
53,5 ,49.0,-109.375
54,19 ,33.0,-114.375
55,16 ,42.0,-116.875
56,10 ,41.0,-115.625
57,7 ,41.0,-110.625
58,3 ,42.0,-123.125
59,13 ,36.0,-120.625
60,2 ,40.0,-114.375
61,10 ,47.0,-109.375
62,17 ,33.0,-111.875
63,2 ,49.0,-108.125
64,38 ,47.0,-124.375
65,2 ,43.0,-109.375
66,10 ,33.0,-109.375
67,7 ,36.0,-106.875
68,7 ,46.0,-111.875
69,11 ,33.0,-116.875
70,17 ,47.0,-108.125
71,0 ,46.0,-115.625
72,0 ,48.0,-121.875
73,5 ,40.0,-111.875
74,50 ,42.0,-124.375
75,2 ,37.0,-121.875
76,22 ,46.0,-109.375
77,11 ,43.0,-123.125
78,0 ,48.0,-115.625
79,10 ,47.0,-111.875
80,5 ,45.0,-114.375
81,3 ,34.0,-109.375
82,13 ,34.0,-111.875
83,3 ,41.0,-113.125
84,11 ,37.0,-115.625
85,0 ,46.0,-114.375
86,16 ,32.0,-111.875
87,35 ,43.0,-114.375
88,11 ,34.0,-116.875
89,25 ,43.0,-113.125
90,2 ,49.0,-111.875
91,3 ,45.0,-113.125
92,10 ,45.0,-119.375
93,0 ,48.0,-116.875
94,5 ,36.0,-118.125
95,13 ,37.0,-110.625
96,30 ,42.0,-109.375
97,0 ,49.0,-116.875
98,10 ,35.0,-113.125
99,16 ,44.0,-108.125
100,0 ,40.0,-106.875
101,7 ,34.0,-114.375
102,32 ,32.0,-120.625
103,0 ,48.0,-123.125
104,13 ,34.0,-113.125
105,21 ,37.0,-108.125
106,5 ,44.0,-123.125
107,46 ,46.0,-124.375
108,33 ,34.0,-124.375
109,8 ,37.0,-111.875
110,10 ,44.0,-118.125
111,5 ,40.0,-119.375
112,35 ,37.0,-120.625
113,5 ,35.0,-109.375
114,0 ,47.0,-123.125
115,11 ,39.0,-111.875
116,5 ,43.0,-120.625
117,10 ,35.0,-114.375
118,44 ,35.0,-124.375
119,5 ,37.0,-106.875
120,39 ,32.0,-114.375
121,11 ,45.0,-120.625
122,3 ,32.0,-108.125
123,0 ,45.0,-121.875
124,0 ,47.0,-121.875
125,0 ,46.0,-118.125
126,0 ,38.0,-108.125
127,2 ,32.0,-109.375
128,5 ,38.0,-111.875
129,0 ,39.0,-120.625
130,5 ,35.0,-110.625
131,13 ,44.0,-116.875
132,10 ,35.0,-106.875
133,8 ,47.0,-120.625
134,14 ,39.0,-109.375
135,3 ,43.0,-121.875
136,5 ,36.0,-114.375
137,0 ,43.0,-110.625
138,33 ,43.0,-124.375
139,2 ,32.0,-115.625
140,2 ,38.0,-113.125
141,39 ,41.0,-109.375
142,25 ,32.0,-121.875
