,ELCC,latitude,longitude
0,47 ,37.0,-106.25
1,49 ,49.5,-111.25
2,52 ,36.5,-120.0
3,49 ,42.0,-108.125
4,50 ,44.5,-118.75
5,49 ,39.5,-111.875
6,52 ,49.0,-125.0
7,52 ,48.0,-123.75
8,53 ,37.5,-122.5
9,49 ,43.0,-108.125
10,52 ,46.0,-121.25
11,49 ,45.5,-115.0
12,47 ,32.0,-107.5
13,52 ,38.5,-118.125
14,46 ,33.0,-108.125
15,47 ,43.0,-107.5
16,50 ,37.5,-116.25
17,52 ,34.5,-122.5
18,49 ,33.5,-112.5
19,52 ,46.5,-123.75
20,52 ,41.0,-123.125
21,47 ,47.5,-106.875
22,50 ,45.0,-116.875
23,49 ,37.5,-108.125
24,47 ,47.5,-106.25
25,52 ,33.0,-118.75
26,50 ,38.0,-115.0
27,49 ,37.0,-111.875
28,49 ,48.5,-109.375
29,47 ,46.0,-108.125
30,47 ,48.0,-106.875
31,52 ,39.5,-120.625
32,49 ,37.0,-111.25
33,49 ,35.5,-113.125
34,49 ,42.5,-110.625
35,53 ,40.5,-125.0
36,50 ,47.5,-120.625
37,50 ,32.5,-114.375
38,49 ,44.5,-110.625
39,47 ,44.5,-107.5
40,53 ,44.5,-124.375
41,49 ,33.5,-113.75
42,50 ,36.5,-114.375
43,50 ,42.0,-114.375
44,49 ,37.5,-114.375
45,50 ,38.0,-115.625
46,52 ,46.0,-120.0
47,52 ,34.0,-121.875
48,47 ,47.0,-108.75
49,53 ,35.5,-123.75
50,49 ,37.5,-111.25
51,50 ,49.5,-120.0
52,50 ,46.0,-116.25
53,49 ,35.0,-108.125
54,49 ,35.0,-108.75
55,49 ,41.5,-108.125
56,47 ,44.5,-106.875
57,52 ,43.0,-122.5
58,52 ,38.0,-121.25
59,49 ,45.5,-113.125
60,52 ,42.0,-121.25
61,52 ,33.0,-121.25
62,49 ,49.5,-107.5
63,49 ,49.0,-108.75
64,52 ,38.5,-118.75
65,47 ,49.0,-107.5
66,53 ,47.0,-125.0
67,50 ,49.5,-115.0
68,50 ,42.5,-111.25
69,50 ,45.0,-116.25
70,47 ,33.5,-109.375
71,52 ,48.0,-122.5
72,52 ,34.5,-121.875
73,52 ,49.5,-121.875
74,50 ,39.0,-116.875
75,55 ,38.5,-124.375
76,53 ,41.5,-125.0
77,49 ,34.0,-112.5
78,52 ,41.5,-121.875
79,50 ,34.0,-116.875
80,50 ,43.0,-113.75
81,50 ,44.0,-113.125
82,49 ,35.5,-112.5
83,50 ,48.5,-118.125
84,50 ,42.0,-115.625
85,50 ,42.0,-113.75
86,50 ,49.5,-118.75
87,47 ,47.5,-108.75
88,52 ,40.0,-123.125
89,52 ,31.5,-119.375
90,49 ,39.0,-111.875
91,50 ,39.5,-115.625
92,50 ,41.5,-113.125
93,52 ,38.5,-120.0
94,49 ,43.5,-108.125
95,52 ,36.0,-118.75
96,50 ,37.5,-116.875
97,49 ,47.5,-114.375
98,49 ,48.0,-109.375
99,52 ,47.5,-122.5
100,50 ,39.5,-115.0
101,50 ,43.0,-118.75
102,47 ,47.5,-109.375
103,50 ,34.5,-114.375
104,52 ,33.0,-123.75
105,52 ,39.5,-123.125
106,52 ,46.5,-121.25
107,49 ,45.0,-114.375
108,52 ,40.5,-123.125
109,52 ,44.5,-120.625
110,50 ,35.5,-113.75
111,52 ,36.0,-119.375
112,49 ,31.5,-115.0
113,52 ,43.0,-120.0
114,52 ,38.0,-119.375
115,53 ,47.0,-124.375
116,52 ,45.5,-120.0
117,52 ,49.0,-124.375
118,49 ,49.5,-109.375
119,50 ,36.0,-118.125
120,50 ,48.5,-121.25
121,52 ,32.5,-121.875
122,53 ,35.0,-122.5
123,47 ,32.5,-108.75
124,53 ,37.0,-123.125
125,47 ,36.5,-106.875
126,50 ,43.0,-117.5
127,53 ,36.0,-121.25
128,47 ,48.0,-107.5
129,53 ,34.0,-125.0
130,52 ,31.5,-123.75
