,ELCC,iterations,region
0,23 ,1000,PACE
1,10 ,10000,WECC
2,19 ,10000,PACE
3,10 ,5000,WECC
4,9 ,5000,WECC
5,9 ,2000,WECC
6,10 ,10000,WECC
7,8 ,2000,WECC
8,21 ,5000,PACE
9,8 ,10000,WECC
10,7 ,1000,WECC
11,9 ,2000,WECC
12,20 ,2000,PACE
13,20 ,2000,PACE
14,21 ,10000,PACE
15,8 ,10000,WECC
16,21 ,10000,PACE
17,21 ,1000,PACE
18,20 ,5000,PACE
19,6 ,1000,WECC
20,7 ,1000,WECC
21,20 ,10000,PACE
22,19 ,2000,PACE
23,21 ,1000,PACE
24,11 ,5000,WECC
25,20 ,5000,PACE
26,21 ,1000,PACE
27,21 ,5000,PACE
28,21 ,2000,PACE
29,7 ,1000,WECC
30,9 ,10000,WECC
31,21 ,10000,PACE
32,9 ,1000,WECC
33,20 ,2000,PACE
34,16 ,1000,PACE
35,21 ,5000,PACE
36,7 ,2000,WECC
37,10 ,2000,WECC
38,8 ,5000,WECC
39,10 ,5000,WECC
